covariate_term,odds_ratio,p_value,n_cases,covariate_set,null_model
C(defendant_race)[T.Black],0.8882,0.0,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
C(defendant_race)[T.Other],0.7077,0.0,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
defendant_citizenship[T.Legal Alien],0.8215,0.0,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
defendant_citizenship[T.US Citizen],0.8198,0.0,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
defendant_citizenship[T.Unknown],0.6077,1.7e-05,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
defendant_citizenship[T.Non-US Extra-Territorial],0.7971,0.003376,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
C(defendant_race)[T.Hispanic],1.0215,0.23581,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
defendant_sex[T.M],1.0123,0.448125,217076,race(White ref) + sex + citizenship + severity + venue,logistic regression: P(divergent) ~ demographics | severity + venue
